timestamp,repo,tag,asset,download_count
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.3","app-arm64-v8a-release.apk",14
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.3","app-universal-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.2","app-arm64-v8a-release.apk",4
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.2","app-universal-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.1","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.1","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.15.1","yakuyomi-v0.15.1-arm64-v8a.apk",10
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.15.1","yakuyomi-v0.15.1-universal.apk",3
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.15.0","yakuyomi-v0.15.0-arm64-v8a.apk",3
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.15.0","yakuyomi-v0.15.0-universal.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.4","yakuyomi-v0.14.4-arm64-v8a.apk",4
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.4","yakuyomi-v0.14.4-universal.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.3","yakuyomi-v0.14.3-arm64-v8a.apk",2
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.3","yakuyomi-v0.14.3-universal.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.2","yakuyomi-v0.14.2-arm64-v8a.apk",3
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.2","yakuyomi-v0.14.2-universal.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.1","yakuyomi-v0.14.1-arm64-v8a.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.1","yakuyomi-v0.14.1-universal.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.0","yakuyomi-v0.14.0-arm64-v8a.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.14.0","yakuyomi-v0.14.0-universal.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.13.0","Yakuyomi-0.13.0-arm64-v8a.apk",4
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.13.0","Yakuyomi-0.13.0-universal.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.12.2","app-arm64-v8a-release.apk",4
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.12.2","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.12.1","app-arm64-v8a-release.apk",2
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.12.1","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.12.0","app-arm64-v8a-release.apk",2
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.12.0","app-universal-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.11.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.11.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.10.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.10.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.9.0","app-arm64-v8a-release.apk",4
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.9.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.8.0","app-arm64-v8a-release.apk",3
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.8.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.7.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.7.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.6.2","app-arm64-v8a-release.apk",4
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.6.2","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.6.1","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.6.1","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.6.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.6.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.5.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.5.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.4.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.4.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.3.0","app-arm64-v8a-release.apk",10
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.3.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.2.1","app-arm64-v8a-release.apk",6
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.2.1","app-universal-release.apk",2
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.2.0","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.2.0","app-universal-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-arm64-v8a.apk",13
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-universal.apk",5
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.bin",20
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.param",13
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.bin",6
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.param",6
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.bin",13
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.param",13
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v2","ocr_int8.onnx",13
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v1","comictextdetector.pt.onnx",26
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v1","lama-manga.onnx",21
"2026-07-27T06:22Z","joyeli/yakuyomi-engine","models-v1","ocr_48px_ctc.onnx",21
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.19.0","app-arm64-v8a-release.apk",32
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.19.0","app-universal-release.apk",3
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.18.2","app-arm64-v8a-release.apk",17
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.18.2","app-universal-release.apk",7
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.18.1","app-arm64-v8a-release.apk",6
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.18.1","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.18.0","app-arm64-v8a-release.apk",8
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.18.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.17.0","app-arm64-v8a-release.apk",9
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.17.0","app-universal-release.apk",2
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.9","app-arm64-v8a-release.apk",3
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.9","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.8","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.8","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.7","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.7","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.6","app-arm64-v8a-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.6","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.5","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.5","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.4","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.4","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.3","app-arm64-v8a-release.apk",14
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.3","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.2","app-arm64-v8a-release.apk",4
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.2","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.1","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.1","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.16.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.15.1","yakuyomi-v0.15.1-arm64-v8a.apk",10
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.15.1","yakuyomi-v0.15.1-universal.apk",3
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.15.0","yakuyomi-v0.15.0-arm64-v8a.apk",3
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.15.0","yakuyomi-v0.15.0-universal.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.4","yakuyomi-v0.14.4-arm64-v8a.apk",4
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.4","yakuyomi-v0.14.4-universal.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.3","yakuyomi-v0.14.3-arm64-v8a.apk",2
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.3","yakuyomi-v0.14.3-universal.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.2","yakuyomi-v0.14.2-arm64-v8a.apk",3
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.2","yakuyomi-v0.14.2-universal.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.1","yakuyomi-v0.14.1-arm64-v8a.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.1","yakuyomi-v0.14.1-universal.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.0","yakuyomi-v0.14.0-arm64-v8a.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.14.0","yakuyomi-v0.14.0-universal.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.13.0","Yakuyomi-0.13.0-arm64-v8a.apk",4
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.13.0","Yakuyomi-0.13.0-universal.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.12.2","app-arm64-v8a-release.apk",4
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.12.2","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.12.1","app-arm64-v8a-release.apk",2
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.12.1","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.12.0","app-arm64-v8a-release.apk",2
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.12.0","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.11.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.11.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.10.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.10.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.9.0","app-arm64-v8a-release.apk",4
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.9.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.8.0","app-arm64-v8a-release.apk",3
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.8.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.7.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.7.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.6.2","app-arm64-v8a-release.apk",4
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.6.2","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.6.1","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.6.1","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.6.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.6.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.5.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.5.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.4.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.4.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.3.0","app-arm64-v8a-release.apk",10
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.3.0","app-universal-release.apk",0
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.2.1","app-arm64-v8a-release.apk",6
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.2.1","app-universal-release.apk",2
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.2.0","app-arm64-v8a-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.2.0","app-universal-release.apk",1
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-arm64-v8a.apk",13
"2026-08-03T06:14Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-universal.apk",5
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.bin",28
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.param",20
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.bin",6
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.param",6
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.bin",21
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.param",20
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v2","ocr_int8.onnx",21
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v1","comictextdetector.pt.onnx",26
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v1","lama-manga.onnx",21
"2026-08-03T06:14Z","joyeli/yakuyomi-engine","models-v1","ocr_48px_ctc.onnx",21
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.19.0","app-arm64-v8a-release.apk",41
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.19.0","app-universal-release.apk",5
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.18.2","app-arm64-v8a-release.apk",17
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.18.2","app-universal-release.apk",7
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.18.1","app-arm64-v8a-release.apk",6
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.18.1","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.18.0","app-arm64-v8a-release.apk",8
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.18.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.17.0","app-arm64-v8a-release.apk",9
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.17.0","app-universal-release.apk",2
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.9","app-arm64-v8a-release.apk",3
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.9","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.8","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.8","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.7","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.7","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.6","app-arm64-v8a-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.6","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.5","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.5","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.4","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.4","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.3","app-arm64-v8a-release.apk",14
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.3","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.2","app-arm64-v8a-release.apk",4
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.2","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.1","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.1","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.16.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.15.1","yakuyomi-v0.15.1-arm64-v8a.apk",10
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.15.1","yakuyomi-v0.15.1-universal.apk",3
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.15.0","yakuyomi-v0.15.0-arm64-v8a.apk",3
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.15.0","yakuyomi-v0.15.0-universal.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.4","yakuyomi-v0.14.4-arm64-v8a.apk",4
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.4","yakuyomi-v0.14.4-universal.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.3","yakuyomi-v0.14.3-arm64-v8a.apk",2
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.3","yakuyomi-v0.14.3-universal.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.2","yakuyomi-v0.14.2-arm64-v8a.apk",3
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.2","yakuyomi-v0.14.2-universal.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.1","yakuyomi-v0.14.1-arm64-v8a.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.1","yakuyomi-v0.14.1-universal.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.0","yakuyomi-v0.14.0-arm64-v8a.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.14.0","yakuyomi-v0.14.0-universal.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.13.0","Yakuyomi-0.13.0-arm64-v8a.apk",4
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.13.0","Yakuyomi-0.13.0-universal.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.12.2","app-arm64-v8a-release.apk",4
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.12.2","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.12.1","app-arm64-v8a-release.apk",2
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.12.1","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.12.0","app-arm64-v8a-release.apk",2
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.12.0","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.11.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.11.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.10.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.10.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.9.0","app-arm64-v8a-release.apk",4
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.9.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.8.0","app-arm64-v8a-release.apk",3
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.8.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.7.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.7.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.6.2","app-arm64-v8a-release.apk",4
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.6.2","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.6.1","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.6.1","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.6.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.6.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.5.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.5.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.4.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.4.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.3.0","app-arm64-v8a-release.apk",10
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.3.0","app-universal-release.apk",0
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.2.1","app-arm64-v8a-release.apk",6
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.2.1","app-universal-release.apk",2
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.2.0","app-arm64-v8a-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.2.0","app-universal-release.apk",1
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-arm64-v8a.apk",15
"2026-08-10T04:24Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-universal.apk",6
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.bin",37
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.param",28
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.bin",6
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.param",6
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.bin",29
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.param",27
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v2","ocr_int8.onnx",29
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v1","comictextdetector.pt.onnx",26
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v1","lama-manga.onnx",21
"2026-08-10T04:24Z","joyeli/yakuyomi-engine","models-v1","ocr_48px_ctc.onnx",22
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.19.0","app-arm64-v8a-release.apk",64
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.19.0","app-universal-release.apk",8
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.18.2","app-arm64-v8a-release.apk",17
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.18.2","app-universal-release.apk",7
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.18.1","app-arm64-v8a-release.apk",6
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.18.1","app-universal-release.apk",0
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.18.0","app-arm64-v8a-release.apk",9
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.18.0","app-universal-release.apk",0
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.17.0","app-arm64-v8a-release.apk",9
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.17.0","app-universal-release.apk",2
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.9","app-arm64-v8a-release.apk",3
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.9","app-universal-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.8","app-arm64-v8a-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.8","app-universal-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.7","app-arm64-v8a-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.7","app-universal-release.apk",0
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.6","app-arm64-v8a-release.apk",0
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.6","app-universal-release.apk",0
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.5","app-arm64-v8a-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.5","app-universal-release.apk",0
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.4","app-arm64-v8a-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.4","app-universal-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.3","app-arm64-v8a-release.apk",14
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.3","app-universal-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.2","app-arm64-v8a-release.apk",4
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.2","app-universal-release.apk",1
"2026-08-17T03:43Z","joyeli/Yakuyomi","v0.16.1","app-arm64-v8a-release.apk",1
